中文名称,文件名,别名,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注
“三”卫星-R,TRISAT R.jpg,,TRISAT R,斯洛文尼亚,[[马里博尔大学]],技术试验，科学与教育,,,,[[织女星]]-C,2022年07月13日,[[圭亚那航天中心|圭]] ELV,6年,5 kg,2022-080D,53108,
钢片琴,CELESTA (ROBUSTA 1D).jpg,,CELESTA (ROBUSTA 1D),法国,"[[欧洲核子研究组织]], [[蒙彼利埃第二大学]]",技术试验,,,,[[织女星]]-C,2022年07月13日,[[圭亚那航天中心|圭]] ELV,2年,1 kg,2022-080G,53111,
太空生物立方星,Astrobio Cubesat (ABCS).jpg,,Astrobio Cubesat (ABCS),意大利,[[罗马大学]],科学与教育（生命科学）,,,,[[织女星]]-C,2022年07月13日,[[圭亚那航天中心|圭]] ELV,,,2022-080C,53107,
记忆测试卫星2号,"MTCube 1, 2 (ROBUSTA 1C, 1F).jpg",,MTCube 2 (ROBUSTA 1F),法国,[[蒙彼利埃第二大学]],技术试验,,,,[[织女星]]-C,2022年07月13日,[[圭亚那航天中心|圭]] ELV,2年,1 kg,2022-080B,53106,
阿尔法（意大利卫星）,ALPHA.jpg,,ALPHA,意大利,"[[先进航天研咨动力]] （初）, [[空间头脑]]",技术试验,,,,[[织女星]]-C,2022年07月13日,[[圭亚那航天中心|圭]] ELV,,1 kg,2022-080F,53110,
绿色植物立方卫星,GreenCube.jpg,,GreenCube,意大利,[[二世大学]],科学与教育（生命科学）,,,,[[织女星]]-C,2022年07月13日,[[圭亚那航天中心|圭]] ELV,,,2022-080E,53109,
天链二号03星,"Tianlian-2 01, 02, 03 (TL 2A, 2B, 2C).jpg",,Tianlian-2 03 (TL 2C),中国,[[五院]],通信,[[GEO]],,,[[长征三号乙]]/G3,2022年07月12日,[[西昌卫星发射中心|西昌]] LC-2,,,2022-078A,53100,天链二号系列
中国业余无线电卫星5B,CAS 5B.jpg,,CAS 5B,中国,[[中国业余卫星组织]],科学与教育（业余无线电）,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,,2022-167,54682,中国业余无线电卫星系列
丰台少年二号,CAS 5A (Fengtai Shaonian 2).jpg,,CAS 5A (Fengtai Shaonian 2),中国,[[中国业余卫星组织]],科学与教育（业余无线电）,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,,2022-167C,54684,中国业余无线电卫星系列
天启星座07星,"Tianqi 7, 8, 9, 14, 15.jpg",,"Tianqi 7 (TQ 7, Dasong Guanyao)",中国,[[北京国电高科科技有限公司]],通信（M2M/IoT）,,,,[[捷龙三号]],2022年12月9日,[[东方航天港]]（母港）,,~50 kg,2022-167,54682,天启卫星系列
高分五号01A星,Gaofen 5-01A (GF 5-01A).jpg,,Gaofen 5-01A (GF 5-01A),中国,[[八院]],遥感,,,,[[长征二号丁]] (2),2022年12月8日,[[太原卫星发射中心|太原]] LC-9,8年,,2022-079A,53102,中国高分辨率对地观测系统重大专项系列
行云交通VDES试验卫星,Xingyun Jiaotong VDES Shiyan.jpg,,Xingyun Jiaotong VDES Shiyan (Hangtian Jinzu 1),中国,[[航天科工]],通信,,,,[[快舟十一号]],2022年12月7日,[[酒泉卫星发射中心|酒泉]] LP-43/95B,,,2022-164A,54588,
地球远程观测系统C3-1,"EROS C3-1, C3-2.jpg",,EROS C3-1,以色列,[[以色列航空工业公司]],遥感,,485 km × 503 km ,139.36°,[[猎鹰9号]] v1.2 (Block 5),2022年12月30日,[[范登堡空军基地|范]] SLC-4E,10年,~400 kg,2022-178A,54878,
高分十一号04星,"Gaofen 11-01, ..., 11-04 (GF 11, ..., 11-04).jpg",,Gaofen 11-04 (GF 11-04),中国,,遥感,,248 km × 694 km,97.4°,[[长征四号乙]],2022年12月27日,[[太原卫星发射中心|太原]] LC-9,,,2021-176A,,中国高分辨率对地观测系统重大专项系列
试验二十一号卫星,SY 21.jpg,,SY 21,中国,[[八院]],?,,,,[[长征十一号]],2022年12月16日,[[西昌卫星发射中心|西昌]] LC-4,,,2022-172A,54752,试验卫星系列
地表水和海洋地形卫星,SWOT.jpg,,SWOT,"美国, 法国",[[阿莱尼亚宇航公司]],遥感,,890 km × 890 km,77.6°,[[猎鹰9号]] v1.2 (Block 5),2022年12月16日,[[范登堡空军基地|范]] SLC-4E,3年 （设计）,~ 2200 kg,2022-173A,54754,
气象卫星三代-成像1号,"MTG-I 1, 2, 3, 4 (Meteosat 12, 14, 15, 17).jpg",,MTG-I 1 (Meteosat 12),欧洲,"[[阿莱尼亚宇航公司]] （初）, [[OHB系统有限公司]] （平台）",气象,[[GEO]],,,[[阿丽亚娜5]]ECA+,2022年12月13日,[[圭亚那航天中心|圭]] ELA-3,8.5年,3760 kg (#1),2022-170C,54743,
月球手电筒,Lunar Flashlight.jpg,,Lunar Flashlight,美国,[[NASA]] [[喷气推进实验室]],深空探测（月球）,,,,[[猎鹰9号]] v1.2 (Block 5),2022年12月11日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,< 2年,~14 kg,2022-168B,54697,
太空金枪鱼1号,SpaceTuna 1.jpg,,SpaceTuna 1,日本,[[近代大学]],技术试验，科学与教育,,400 km × 400 km （典型）,51.6°,[[安塔瑞斯]]-230+,2022年11月7日,[[沃洛普斯飞行设施|沃]]-0A,~ 6个月,1 kg,TBD,,
塔卡,Bird (2U)(Taka).jpg,,Taka,"日本, 孟加拉国, 加纳, 蒙古国, 尼日利亚, 菲律宾, 不丹, 马来西亚, 尼泊尔, 斯里兰卡, 巴拉圭, 乌干达, 津巴布韦",[[九州工业大学]] (Kyutech),技术试验，科学与教育,,400 km × 400 km （典型）,51.6°,[[安塔瑞斯]]-230+,2022年11月7日,[[沃洛普斯飞行设施|沃]]-0A,~ 6个月,1 kg,TBD,,
中间层气辉-气溶胶层析成像和光谱,MATS.jpg,,MATS,瑞典,"[[OHB系统有限公司|OHB]], [[AAC微电子科技公司]] （平台）; [[斯德哥尔摩大学]], [[查尔姆斯理工大学]], [[瑞典皇家工学院]]",科学与教育,,580 km × 598 km,97.7°,[[电子号]] KS (R),2022年11月4日,[[火箭实验室发射综合体1号|火]] LC-1B,2年,50 kg,2022-147A,54227,
苔原16L,"Tundra (Kupol, EKS, 14F142).jpg",,"Kosmos 2563 (Tundra 16L, Kupol 16L, EKS #6)",俄罗斯,[[科梅塔中央科学研究所]] （初）; [[俄罗斯能源火箭公司]] （平台）,军事（预警），通信,,1626 km × 38552 km,63.37°,[[联盟2]]-1b Fregat,2022年11月2日,[[普列谢茨克航天发射场|普]] LC-43/4,7.5年,,2022-145A,54223,苔原卫星系列
飓风M-61,"Uragan-M (GLONASS-M, 14F113).jpg",,"Kosmos 2564 (Uragan-M #61, GLONASS-M №761)",俄罗斯,[[列舍特涅夫卫星信息系统|普里克拉德诺伊·梅哈尼基设计局]] (NPO PM),导航,,19100 km × 19100 km （典型）,64.8°,[[联盟2]]-1b Fregat,2022年11月28日,[[普列谢茨克航天发射场|普]] LC-43/3,7年,1415 kg,2022-161A,54377,格洛纳斯系列
但丁卫星,DANTESat.jpg,,DANTESat,意大利,[[空间头脑]],技术试验,,,,[[猎鹰9号]] v1.2 (Block 5),2022年11月26日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,,TBD,,
印度纳卫星2B,INS 2B (BhutanSat).jpg,,INS 2B (BhutanSat),"印度, 不丹",[[印度空间研究组织]],遥感,,,,[[印度极轨卫星发射器]]-XL,2022年11月26日,[[萨迪什·达万航天中心|萨]] FLP,6个月,18 kg,2022-158E,54365,印度纳卫星系列
低轨道侦察图像卫星,LORIS (DUCS).jpg,,LORIS (DUCS),加拿大,[[戴尔豪斯大学]],技术试验,,400 km × 400 km （典型）,51.6°,[[猎鹰9号]] v1.2 (Block 5),2022年11月26日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,,TBD,,
苏里亚卫星1号,SS 1 (Surya Satellite 1).jpg,,SS 1 (Surya Satellite 1),印度尼西亚,[[苏里亚大学]],技术试验,,400 km × 400 km (typical,51.6°,[[猎鹰9号]] v1.2 (Block 5),2022年11月26日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,1 kg,TBD,,
皮克塞尔TD-1,Pixxel-TD 1 (Anand).jpg,,Pixxel-TD 1 (Anand),印度,[[皮克塞尔公司]],遥感,,,,[[印度极轨卫星发射器]]-XL,2022年11月26日,[[萨迪什·达万航天中心|萨]] FLP,,16.5 kg,2022-158F,54366,
海洋卫星3号,"Oceansat 3, 3A (EOS 06).jpg",,Oceansat 3 (EOS 06),印度,[[印度空间研究组织]],遥感,,729 km × 748 km,98.34°,[[印度极轨卫星发射器]]-XL,2022年11月26日,[[萨迪什·达万航天中心|萨]] FLP,,1117 kg,2022-158A,54361,
电离层-热层等离子体增强卫星,PetitSat.jpg,,PetitSat,美国,[[戈达德太空飞行中心]],遥感（电离层）,,400 km × 400 km （典型）,51.6°,[[猎鹰9号]] v1.2 (Block 5),2022年11月26日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,,TBD,,
闪烁预测观测研究任务,SPORT.jpg,,SPORT,"巴西, 美国","[[巴西航空科技大学]], [[NASA]]",技术试验,,400 km × 400 km （典型）,51.6°,[[猎鹰9号]] v1.2 (Block 5),2022年11月26日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,1年,,TBD,,
托马斯杰斐逊高中科研教育评估无线电广播卫星,TJREVERB.jpg,,TJREVERB,美国,[[托马斯·杰斐逊科技高中]] (TJHSST),技术试验,,400 km × 400 km （典型）,51.6°,[[猎鹰9号]] v1.2 (Block 5),2022年11月26日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,2 kg,TBD,,
在轨致动器响应和阻抗测量卫星,MARIO.jpg,,MARIO,美国,[[密歇根大学]],技术试验,,,,[[猎鹰9号]] v1.2 (Block 5),2022年11月26日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,,TBD,,
欧洲通信卫星10B,Eutelsat 10B.jpg,,Eutelsat 10B,国际,[[阿莱尼亚宇航公司]],通信,[[GEO]],,,[[猎鹰9号]] v1.2 (Block 5)(ex),2022年11月23日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,15年,5500 kg,2022-157A,54259,欧洲通信卫星系列
牧羊人示范卫星,Shepherd Demonstration.jpg,,"Shepherd Demonstration (USA 339, USSF 44 PL1, AFSPC 44 PL1)",美国,,技术试验,[[GEO]],,,[[重型猎鹰]] (Block 5)(px),2022年11月1日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,,2022-144B,54220,
阿尔派,Alpine.jpg,,Alpine,美国,[[千年空间系统]],技术试验,,,,[[重型猎鹰]] (Block 5)(px),2022年11月1日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,,2022-144,54219,
LDPE卫星2号,"LDPE 1, 2, 3A (ROOSTER 1, 2, 3A).jpg",,LDPE 2 (ROOSTER 2),美国,[[轨道ATK公司]] → [[诺思罗普·格鲁曼]],技术试验,[[GEO]],,,[[重型猎鹰]] (Block 5)(px),2022年11月1日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,1年,,2022-144A,54219,
迈尔斯,Miles.jpg,,Miles,美国,[[迈尔斯空间]],深空探测（月球）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,,~14 kg,2022-156,54257,
阿尔戈月球立方星,ArgoMoon.jpg,,ArgoMoon,意大利,[[阿尔戈科技公司]],深空探测（月球）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,,~14 kg,2022-156,54257,
太阳粒子研究立方星任务,CuSP (CuSPP+).jpg,,CuSP (ex CuSPP+),美国,[[西南研究所]],科学与教育（电离层，磁层）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,90天 (prime mission),,2022-156,54257,
月球冰立方卫星,Lunar-IceCube.jpg,,Lunar-IceCube,美国,[[摩海德州立大学]],深空探测（月球）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,,~14 kg,2022-156,54257,
近地小行星侦察兵卫星,NEA-Scout.jpg,,NEA-Scout,美国,[[NASA]] [[喷气推进实验室]],深空探测（小行星）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,2.5年,~12 kg,2022-156,54257,
月球极区氢绘图仪立方星,LunaH-Map (SIMPLEx 1).jpg,,LunaH-Map (SIMPLEx 1),美国,[[NASA]] [[喷气推进实验室]],深空探测（月球）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,< 2年,~14 kg,2022-156,54257,
地月拉格朗日点6U立方星,EQUULEUS.jpg,,EQUULEUS,日本,"[[JAXA]], [[东京大学]]",深空探测（月球）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,,~14 kg,2022-156,,
月球红外成像立方星,LunIR (SkyFire).jpg,,LunIR (ex SkyFire),美国,"[[洛克希德·马丁]]; [[特瓦克纳米卫星系统公司]],  （平台）",深空探测（月球）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,,~14 kg,2022-156,,
好客号,OMOTENASHI.jpg,,OMOTENASHI,日本,"[[JAXA]], [[东京大学]]",深空探测（月球）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,,~14 kg,2022-156,54257,
生物哨兵卫星,BioSentinel.jpg,,BioSentinel,美国,[[艾姆斯研究中心]],科学与教育（生命科学）,,,,[[太空发射系统]] (Block 1) iCPS,2022年11月16日,[[卡纳维拉尔角太空军基地|卡]]K LC-39B,,~14 kg,2022-156,54257,
澳门学生科普卫星一号,"XW 4 (CAS 10, Macau Student Science 1).jpg",,"XW 4 (CAS 10, Macau Student Science 1)",中国,[[中国业余卫星组织]],科学与教育（业余无线电）,,,,[[长征七号]],2022年11月12日,[[文昌航天发射场|文昌]] LC-201,,,2022-152C,54257,中国业余无线电卫星系列
云海三号01星,Yunhai-3 01.jpg,,Yunhai-3 01,中国,,"气象, 遥感",,,,[[长征六号甲]],2022年11月11日,[[太原卫星发射中心|太原]] LC-9A,,,2022-151A,54239,云海卫星系列
充气减速器低地球轨道飞行测试,LOFTID.jpg,,LOFTID,美国,[[兰利研究中心]],技术试验,,,,[[宇宙神5]](401),2022年11月10日,[[范登堡空军基地|范]] SLC-3E,< 1天,1224 kg,2022-150#,54234,
国家海洋和大气管理局21号,"JPSS 2, 3, 4.jpg",,JPSS 2 (NOAA 21),美国,[[诺思罗普·格鲁曼]]创新系统 (NGIS) (前身是 [[轨道ATK公司]]),气象,[[SSO]],824 km ,,[[宇宙神5]](401),2022年11月10日,[[范登堡空军基地|范]] SLC-3E,7年,2930 kg,2022-150A,54234,国家海洋和大气管理局卫星系列
先进天基太阳天文台,ASO-S (Kuafu).jpg,,ASO-S (Kuafu),中国,,科学与教育（天文）,[[SSO]],720 km ,,[[长征二号丁]] (2),2022年10月8日,[[酒泉卫星发射中心|酒泉]] LC-43/94,4年,888 kg,2022-129A,54029,
阿戈斯4号,GAzelle (Argos-4).jpg,,GAzelle (Argos-4) (ex OTB 3),美国,[[通用原子能公司]],技术试验,,,,[[电子号]] KS,2022年10月7日,[[火箭实验室发射综合体1号|火]] LC-1B,5年,,2022-127A,54023,
斯基泰人D星,Skif-D (14F149).jpg,,Skif-D (14F149 №Kh001),俄罗斯,[[列舍特涅夫卫星信息系统]],通信,,,,[[联盟2]]-1b Fregat,2022年10月22日,[[沃斯托克尼航天发射场|沃斯托克]] LC-1S,,160 kg,2022-139,54150,
福萨卫星1b(2),"FossaSat 1, 1b.jpg",,FossaSat 1b (2),西班牙,,技术试验,,,,[[萤火虫-阿尔法]],2022年10月1日,[[范登堡空军基地|范]] SLC-2W,,0.2 kg,2022-122#,53955,福萨卫星系列
科技教育卫星15号,TechEdSat 15 (TES 15).jpg,,TechEdSat 15 (TES 15),美国,[[艾姆斯研究中心]],技术试验，科学与教育,,,,[[萤火虫-阿尔法]],2022年10月1日,[[范登堡空军基地|范]] SLC-2W,,,2022-122C ?,,科技教育卫星系列
静谧2号,Serenity.jpg,,Serenity (2),美国,[[太空老师]],技术试验,,,,[[萤火虫-阿尔法]],2022年10月1日,[[范登堡空军基地|范]] SLC-2W,,,2022-122A ?,,
萤火虫胶囊2号,Spinnaker-3 (CP 15) / Firefly Capsule 1.jpg,,Firefly Capsule 2,美国,"[[加州理工大学]], [[普渡大学]], [[NASA]], [[萤火虫航天]]",技术试验,,,,[[萤火虫-阿尔法]],2022年10月1日,[[范登堡空军基地|范]] SLC-2W,,,2022-122E,53959,
环境减灾二号E星,"HJ 2E, 2F.jpg",,HJ 2E (5m S-SAR 01),中国,[[五院]],遥感（雷达）,,,,[[长征二号丙]] (3),2022年10月13日,[[太原卫星发射中心|太原]] LC-9,,,2022-132A,54035,环境减灾卫星系列
快速创新载荷演示卫星3号,RAISE 3.jpg,,RAISE 3,日本,[[JAXA]],技术试验,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,14 个月,110 kg,2022-F05,,快速创新载荷演示系列
未来科学研究所卫星,FSI-SAT.jpg,,FSI-SAT,日本,[[未来科学研究所]],技术试验,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,,1 kg,2022-F05,,
三叶号,MITSUBA.jpg,,MITSUBA,日本,[[九州工业大学]],技术试验,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,,1.7 kg,2022-F05,,
弧线2号,KOSEN 2.jpg,,KOSEN 2,日本,[[高知工业高等专门学校]],技术试验,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,,2.7 kg,2022-F05,,
安哥拉卫星2号,AngoSat 2.jpg,,AngoSat 2,安哥拉,[[列舍特涅夫卫星信息系统]],通信,[[GEO]],,,[[质子M]] Blok-DM-03,2022年10月12日,[[拜科努尔航天发射场|拜]] LC-81/24,15年,1964 kg,2022-131A,54033,
早稻田卫星0号,Waseda-SAT 0.jpg,,Waseda-SAT 0,日本,[[早稻田大学]],技术试验,,,,[[艾普斯龙]] CLPS,2022年10月12日,[[内之浦航天中心|内]] LP-M,,1 kg,2022-F05,,早稻田卫星系列
泰景卫星,Taijing-2 01.jpg.jpg,,Taijing,中国,[[微纳星空]],遥感,,,,,,,,,,,
起源卫星,"GENESIS L, -N.jpg",,GENESIS,西班牙,[[西班牙业余卫星组织]],技术试验,,,,,,,,,,,
丘比克卫星,"Qubik 1, 2, 3, 4, 5, 6.jpg",,Qubik,希腊,[[利布勒空间基金会]],技术试验,,,,,,,,,,,
QPS合成孔径雷达,"QPS-SAR 3, 4, 5.jpg",,QPS-SAR,日本,[[株式会社QPS研究所]],遥感 （雷达）,,,,,,,,,,,
条纹X,StriX α.jpg.jpg,StriX alpha,StriX,日本,[[数据合成观]],遥感 （雷达）,,,,,,,,,,,
蓝行者,BlueWalker 3 (BW 3).jpg,,BlueWalker,美国,[[纳米航空电子设备公司]],通信,,,,,,,,,,,
中国业余无线电卫星,CAS 5B.jpg,,CAS,中国,科学与教育、技术试验,,,,,,,,,,,,
环境减灾卫星,"HJ 2E, 2F.jpg",,HJ JianZai,中国,[[五院]],遥感 （雷达）,,,,,,,,,,,
快速创新载荷演示,RAISE 3.jpg,,RAISE,日本,[[JAXA]],技术试验,,,,,,,,,,,
早稻田卫星,Waseda-SAT 0.jpg,,Waseda-SAT,日本,[[早稻田大学]],技术试验,,,,,,,,,,,
