中文名称,文件名,别名,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注
“吉林一号”红外A01,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06).jpg",,"Jilin-1 Hongwai-A01 (Jilin-1 Infrared-A01, Yunyao-1 04)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”红外卫星系列
“吉林一号”红外A02,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06).jpg",,"Jilin-1 Hongwai-A02 (Jilin-1 Infrared-A02, Yunyao-1 05)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”红外卫星系列
“吉林一号”红外A03,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06).jpg",,"Jilin-1 Hongwai-A03 (Jilin-1 Infrared-A03, Yunyao-1 06)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”红外卫星系列
“吉林一号”红外A04,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06).jpg",,"Jilin-1 Hongwai-A04 (Jilin-1 Infrared-A04, Yunyao-1 07)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”红外卫星系列
“吉林一号”红外A05,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06).jpg",,"Jilin-1 Hongwai-A05 (Jilin-1 Infrared-A05, Yunyao-1 08)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”红外卫星系列
“吉林一号”红外A06,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06).jpg",,"Jilin-1 Hongwai-A06 (Jilin-1 Infrared-A06, Tianjin Binhai 1)",中国,[[长光卫星技术有限公司]],遥感,,,,[[长征六号]],2022年08月10日,[[太原卫星发射中心|太原]] LC-16,,42 kg,2022-098,53444,“吉林一号”红外卫星系列
热鸟系列13F,"Hotbird 13F, 13G.jpg",,Hotbird 13F,国际,[[空客防务与航天公司]],通信（直播）,[[GEO]],,,[[猎鹰9号]] v1.2 (Block 5),2022年10月15日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,15年,4500 kg,2022-134A,54048,热鸟系列
热鸟系列13G,"Hotbird 13F, 13G.jpg",,Hotbird 13G,国际,[[空客防务与航天公司]],通信（直播）,[[GEO]],,,[[猎鹰9号]] v1.2 (Block 5),2022年11月3日,[[卡纳维拉尔角太空军基地|卡]] SLC-40,15年,4500 kg,2022-146A,54225,热鸟系列
货运龙-25,"Dragon CRS-21,... CRS-29 (SpX 21,... 29).jpg",,"Dragon CRS-25 (SpX 25, Dragon C208-F3)",美国,[[太空探索技术公司]],在轨服务（货运）,,400 km × 400 km （典型）,51.6°,[[猎鹰9号]] v1.2 (Block 5),2022年07月15日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,,2022-081A,53113,货运龙系列
货运龙-26,"Dragon CRS-21,... CRS-29 (SpX 21,... 29).jpg",,"Dragon CRS-26 (SpX 26, Dragon C211-F1)",美国,[[太空探索技术公司]],在轨服务（货运）,,400 km × 400 km （典型）,51.6°,[[猎鹰9号]] v1.2 (Block 5),2022年11月26日,[[卡纳维拉尔角太空军基地|卡]]K LC-39A,,,2022-159A,54371,货运龙系列
