载人飞船,image,中文名称,英文名称,性质,国籍,研发机构,长度,直径/翼展,空载质量,载人上限,首次发射时间,太空停留总时间,COSPAR或OV代号,NORAD,服役情况,备注,文件名
联盟MS-22,Soyuz-MS 01 - 20 (11F732A48).jpg,,Soyuz-MS 22 (№),载人飞船,俄罗斯,,,,,,2022年9月21日,,2022-116A,,,联盟飞船系列,
载人龙-5,Crew Dragon.jpg,,"Crew Dragon 5 (Dragon C210-F2, Endurance F2, Crew 5, USCV-5)",载人飞船,美国,[[太空探索技术公司]],,,12055 kg,,2022年10月5日,,2022-124A,,,载人龙系列,
