卫星,image,中文名称,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注,文件名
“吉林一号”高分03D-49,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,Jilin-1 Gaofen-03D-49 (Jilin-1 High Resolution-03D-49),China,Chang Guang Satellite Technology Co.,Earth observation,,,,Jielong-3,2022年12月9日,@YS (Tai Rui),,42 kg,2022-167,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-50,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,Jilin-1 Gaofen-03D-50 (Jilin-1 High Resolution-03D-50),China,Chang Guang Satellite Technology Co.,Earth observation,,,,Jielong-3,2022年12月9日,@YS (Tai Rui),,42 kg,2022-167,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-51,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,Jilin-1 Gaofen-03D-51 (Jilin-1 High Resolution-03D-51),China,Chang Guang Satellite Technology Co.,Earth observation,,,,Ceres-1 (3) (Gushenxing-1 (3)),2022年11月16日,Jq LC-43/95A,,42 kg,2022-155,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-52,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,Jilin-1 Gaofen-03D-52 (Jilin-1 High Resolution-03D-52),China,Chang Guang Satellite Technology Co.,Earth observation,,,,Ceres-1 (3) (Gushenxing-1 (3)),2022年11月16日,Jq LC-43/95A,,42 kg,2022-155,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-53,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,Jilin-1 Gaofen-03D-53 (Jilin-1 High Resolution-03D-53),China,Chang Guang Satellite Technology Co.,Earth observation,,,,Ceres-1 (3) (Gushenxing-1 (3)),2022年11月16日,Jq LC-43/95A,,42 kg,2022-155,,“吉林一号”高分卫星系列,
“吉林一号”高分03D-54,"Jilin-1 Gaofen-03A, -03B, 03C, 03D (Jilin-1 High Resolution-03A, 03B, 03C, 03D)",,Jilin-1 Gaofen-03D-54 (Jilin-1 High Resolution-03D-54),China,Chang Guang Satellite Technology Co.,Earth observation,,,,Ceres-1 (3) (Gushenxing-1 (3)),2022年11月16日,Jq LC-43/95A,,42 kg,2022-155,,“吉林一号”高分卫星系列,
莲花-S-6,Lotos-S1 (14F145),,"Kosmos 2565 (Lotos-S1 #6, №807)",Russia,"TsSKB-Progress (bus), KB Arsenal (payload)",SIGINT,,"901 km × 910 km, 67.15° (#4)",,Soyuz-2-1b,2022年11月30日,Pl LC-43/4,,,2022-163A,,莲花卫星系列,
进步号MS-21,Progress-MS 01 - 22,,Progress-MS 21 (№451 ?),Russia,,Cargo,,"400 km × 400 km, 51.6° (typical)",,Soyuz-2-1a,2022年10月16日,Ba LC-31/6,,7280 kg,2022-140A,,进步号系列,
天舟五号,"Tianzhou 1, 2, 3, 4, 5 (TZ 1, 2, 3, 4, 5)",,Tianzhou 5 (TZ 5),China,,"Supply, cargo",,"400 km × 400 km, 42.8°",,CZ-7,2022年11月12日,We LC-201,,12910 kg (#1),2022-152A,,天舟货运飞船系列,
天鹅座货运飞船18号,Cygnus-PCM (enhanced),,"Cygnus CRS-18 (NG 18, SS Sally Ride)",USA,Orbital Sciences Corporation (OSC),Space Station logistics,,"400 km × 400 km, 51.6° (typical)",,Antares-230+,2022年11月7日,WI LC-0A,66 days,7492 kg (#4),2022-149A,,天鹅座货运飞船系列,
试验二十号A星,"SY 20A, 20B, 20C",,SY 20A,China,CAS Microsat,Technology,,,,CZ-4C,2022年12月12日,Jq LP-43/95,,,2022-169,,试验卫星系列,
