卫星,image,中文名称,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注,文件名
欧洲卫星公司21号,"SES 20, 21",,SES 21,USA,Boeing Satellite Systems,Communication,,GEO,,Atlas-5(531),2022年10月4日,CC SLC-41,15 years,~1500 (#20); ~1700 (#21),2022-123B,,欧洲卫星公司卫星系列,
“吉林一号”红外A01,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06)",,"Jilin-1 Hongwai-A01 (Jilin-1 Infrared-A01, Yunyao-1 04)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,,
“吉林一号”红外A02,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06)",,"Jilin-1 Hongwai-A02 (Jilin-1 Infrared-A02, Yunyao-1 05)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,,
“吉林一号”红外A03,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06)",,"Jilin-1 Hongwai-A03 (Jilin-1 Infrared-A03, Yunyao-1 06)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,,
“吉林一号”红外A04,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06)",,"Jilin-1 Hongwai-A04 (Jilin-1 Infrared-A04, Yunyao-1 07)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,,
“吉林一号”红外A05,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06)",,"Jilin-1 Hongwai-A05 (Jilin-1 Infrared-A05, Yunyao-1 08)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,,
“吉林一号”红外A06,"Jilin-1 Hongwai-A01..., A06 (Jilin-1 Infrared-A01, ..., A06)",,"Jilin-1 Hongwai-A06 (Jilin-1 Infrared-A06, Tianjin Binhai 1)",China,Chang Guang Satellite Technology Co.,Earth observation,,,,CZ-6,2022年8月10日,TY LC-16,,42 kg,2022-098,,,
热鸟系列13F,"Hotbird 13F, 13G",,Hotbird 13F,International,Airbus Defence and Space,Communication (Direct Broadcasting),,GEO,,Falcon-9 v1.2 (Block 5),2022年10月15日,CC SLC-40,15 years,4500 kg,2022-134A,,热鸟系列,
热鸟系列13G,"Hotbird 13F, 13G",,Hotbird 13G,International,Airbus Defence and Space,Communication (Direct Broadcasting),,GEO,,Falcon-9 v1.2 (Block 5),2022年11月3日,CC SLC-40,15 years,4500 kg,2022-146A,,热鸟系列,
货运龙-25,"Dragon CRS-21,... CRS-29 (SpX 21,... 29)",,"Dragon CRS-25 (SpX 25, Dragon C208-F3)",USA,SpaceX,Supply and return,,"400 km × 400 km, 51.6° (typical)",,Falcon-9 v1.2 (Block 5),2022年7月15日,CCK LC-39A,,,2022-081A,,货运龙系列,
货运龙-26,"Dragon CRS-21,... CRS-29 (SpX 21,... 29)",,"Dragon CRS-26 (SpX 26, Dragon C211-F1)",USA,SpaceX,Supply and return,,"400 km × 400 km, 51.6° (typical)",,Falcon-9 v1.2 (Block 5),2022年11月26日,CCK LC-39A,,,2022-159A,,货运龙系列,
QPS合成孔径雷达3号,"QPS-SAR 3, 4, 5",,QPS-SAR 3,Japan,iQPS,"Earth observation, radar",,,,Epsilon (2) CLPS,2022年10月12日,Ka LP-M,,~100 kg,2022-F05,,,
QPS合成孔径雷达4号,"QPS-SAR 3, 4, 5",,QPS-SAR 4,Japan,iQPS,"Earth observation, radar",,,,Epsilon (2) CLPS,2022年10月12日,Ka LP-M,,~100 kg,2022-F05,,,
和德二号G星,"HEAD 1, 2A, 2B, 2C, 2D, 2E, 2F, 3, 4, 5 (Hede 1, 2A, 2B, 2C, 2D, 2E, 2F, 3, 4, 5)",,"HEAD 2G (Hede 2G, Jiaotong 4)",China,SAST,"Communication M2M/IoT, traffic monitoring",,"796 km × 809 km, 98.65° (#1); 495 km × 511 km, 97.37° (#2A, 2B); 487 km × 502 km, 97.29° (#4); 484 km × 501 km, 97.32° (#5)",,CZ-4B,2022年8月4日,TY LC-9,2-3 years,45 kg,2022-090,,和德卫星系列,
和德二号H星,"HEAD 1, 2A, 2B, 2C, 2D, 2E, 2F, 3, 4, 5 (Hede 1, 2A, 2B, 2C, 2D, 2E, 2F, 3, 4, 5)",,"HEAD 2H (Hede 2H, Jiaotong 5)",China,SAST,"Communication M2M/IoT, traffic monitoring",,"796 km × 809 km, 98.65° (#1); 495 km × 511 km, 97.37° (#2A, 2B); 487 km × 502 km, 97.29° (#4); 484 km × 501 km, 97.32° (#5)",,Jielong-3,2022年12月9日,@YS (Tai Rui),2-3 years,45 kg,2022-167,,和德卫星系列,
银河31,"Galaxy 31, 32, 35, 36",,Galaxy 31 (Galaxy 23R),USA,Maxar,Communication,,GEO,,Falcon-9 v1.2 (Block 5)(ex),2022年11月12日,CC SLC-40,,,2022-153A,,银河卫星系列,
银河32,"Galaxy 31, 32, 35, 36",,Galaxy 32 (Galaxy 17R),USA,Maxar,Communication,,GEO,,Falcon-9 v1.2 (Block 5)(ex),2022年11月12日,CC SLC-40,,,2022-153B,,银河卫星系列,
银河35,"Galaxy 31, 32, 35, 36",,Galaxy 35 (Galaxy 3CR),USA,Maxar,Communication,,GEO,,Ariane-5ECA+,2022年12月13日,Ko ELA-3,,,2022-170A,,银河卫星系列,
银河36,"Galaxy 31, 32, 35, 36",,Galaxy 36 (Galaxy 28R),USA,Maxar,Communication,,GEO,,Ariane-5ECA+,2022年12月13日,Ko ELA-3,,,2022-170B,,银河卫星系列,
微厘空间一号S3试验卫星,CentiSpace-1 S1 (Xiangrikui 1),,"CentiSpace-1 S3 (Weili Kongjian-1 S3, Xiangrikui 3)",China,CAS,Technology ?,,"695 km × 708 km, 98.22°",,Kuaizhou-1A,2022年9月6日,Jq LP-43/95B,,97 kg,2022-108A,,“微厘空间”卫星星座系列,
微厘空间一号S4试验卫星,CentiSpace-1 S1 (Xiangrikui 1),,"CentiSpace-1 S4 (Weili Kongjian-1 S4, Xiangrikui 4)",China,CAS,Technology ?,,"695 km × 708 km, 98.22°",,Kuaizhou-1A,2022年9月6日,Jq LP-43/95B,,97 kg,2022-108B,,“微厘空间”卫星星座系列,
微厘空间北斗低轨导航增强系统S5试验卫星,CentiSpace-1 S1 (Xiangrikui 1),,"CentiSpace-1 S5 (Weili Kongjian-1 S5, Xiangrikui 5)",China,CAS,Technology ?,,"695 km × 708 km, 98.22°",,CZ-11H,2022年10月7日,@YS (DeFu-15002),,97 kg,2022-126A,,“微厘空间”卫星星座系列,
微厘空间北斗低轨导航增强系统S6试验卫星,CentiSpace-1 S1 (Xiangrikui 1),,"CentiSpace-1 S6 (Weili Kongjian-1 S6, Xiangrikui 6)",China,CAS,Technology ?,,"695 km × 708 km, 98.22°",,CZ-11H,2022年10月7日,@YS (DeFu-15002),,97 kg,2022-126B,,“微厘空间”卫星星座系列,
圣彼得堡理工宇宙1号,"Polytech-Universe 1, 2",,Polytech-Universe 1,Russia,,Technology,,,,Soyuz-2-1b Fregat,2022年8月9日,Ba LC-31/6,,,2022-096,,,
圣彼得堡理工宇宙2号,"Polytech-Universe 1, 2",,Polytech-Universe 2,Russia,,Technology,,,,Soyuz-2-1b Fregat,2022年8月9日,Ba LC-31/6,,,2022-096,,,
O3b FM21,"O3b mPower 1, ..., 11 (O3b 21, ..., 31)",,O3b mPower 1 (O3b FM21 ?),UK (Channel Islands),Boeing,Communication,,"7825 km, 0°; 7825 km, 70°",,Falcon-9 v1.2 (Block 5),2022年12月16日,CC SLC-40,10 years,1700 kg,2022-174A,,O3b FM系列,
O3b FM22,"O3b mPower 1, ..., 11 (O3b 21, ..., 31)",,O3b mPower 2 (O3b FM22 ?),UK (Channel Islands),Boeing,Communication,,"7825 km, 0°; 7825 km, 70°",,Falcon-9 v1.2 (Block 5),2022年12月16日,CC SLC-40,10 years,1700 kg,2022-174B,,O3b FM系列,
