空间站,image,中文名称,英文名称,国际卫星标识符,NORAD,国籍,研发机构,长度,宽度,加压空间体积,空载质量,载人上限,（首次）发射时间,太空停留总时间,服役情况,备注,近心点高度,远心点高度,轨道倾角,轨道周期,文件名
国际空间站外太阳板3A,"iROSA 1A, 2B, 3A, 3B, 4A, 4B.jpg",,iROSA 3A,,,美国,[[波音公司]],,~600 kg,,,51.6°,2022年11月26日,,现役,国际空间站外太阳板系列,400 km,400 km,51.6°,,
国际空间站外太阳板4A,"iROSA 1A, 2B, 3A, 3B, 4A, 4B.jpg",,iROSA 4A,,,美国,[[波音公司]],,~600 kg,,,51.6°,2022年11月26日,,现役,国际空间站外太阳板系列,400 km,400 km,51.6°,,
