数据集（可能重复）,中文名,外文名,性别,国籍,出生日期（请小心bug）,逝世日期,逝世日期（请小心bug）,职业,毕业院校,地位或主要成就,重定向,载人航天任务时长,舱外任务时长,编辑状态
"*{{Flagicon|USA}} [[Joseph P. Allen]] — [[STS-5]], [[STS-51-A]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael Alsbury]] † — [[Commercial astronaut]], died in the ''[[VSS Enterprise|VSSEnterprise]]'' [[2014 Virgin Galactic crash|test flight PF04]] crash",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[List of astronauts by year of selection#Association of Spaceflight Professionals|Christopher Altman]] — [[NASA|NASA-trained]] [[Commercial Astronaut|Commercial astronaut]], Association of Spaceflight Professionals 2011<ref name=""Kurzweil"">{{cite web|url=http://www.kurzweilai.net/astronaut-scientists-for-hire-open-new-research-frontier-in-space|title=Astronaut scientists for hire open new research frontier in space|last1=Kurzweil|first1=Ray|date=2011-03-02|website=kurzweilai.net|publisher=Kurzweil Accelerating Intelligence Network: Boston|access-date=3 June 2018}}</ref><ref>{{Cite book|url=https://www.springer.com/gp/book/9781461405191|title=Astronauts For Hire: The Emergence of a Commercial Astronaut Corps|last=Seedhouse|first=Erik|publisher=Springer Science|year=2012|isbn=978-1-4614-0520-7|location=New York|pages=29–41|language=en}}</ref>",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Scott Altman]] — [[STS-90]], [[STS-106]], [[STS-109]], [[STS-125]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[William Anders]] △ — [[Apollo 8]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Clayton Anderson]] — [[STS-117]]/[[STS-120|120]], [[STS-131]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael P. Anderson]], (1959–2003) † — [[STS-89]]. Died in the [[Space Shuttle Columbia disaster|''Columbia'' reentry disintegration]] ([[STS-107]]).",,,,USA}},,,,,,,,,,
<!--Anousheh Ansari was a a paying space tourist. Please see 'List of space travelers by name'-->,,,, Ansa,,,,,,,,,,
**(Claudie André-Deshays – see [[#H|Claudie Haigneré]]),,,,ndré-,,,,,,,,,,
"*{{Flagicon|USA}} [[Dominic A. Antonelli]] — [[STS-119]], [[STS-132]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jerome Apt]] — [[STS-37]], [[STS-47]], [[STS-59]], [[STS-79]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Lee Archambault]] — [[STS-117]], [[STS-119]]",,,,USA}},,,,,,,,,,
