数据集（可能重复）,中文名,外文名,性别,国籍,出生日期（请小心bug）,逝世日期,逝世日期（请小心bug）,职业,毕业院校,地位或主要成就,重定向,载人航天任务时长,舱外任务时长,编辑状态
"*{{Flagicon|USA}} [[Brian Duffy (astronaut)|Brian Duffy]] — [[STS-45]], [[STS-57]], [[STS-72]], [[STS-92]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Charles Moss Duke, Jr.|Charles Duke]] △▲ — [[Apollo 16]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Bonnie J. Dunbar]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-61-A]], [[STS-32]], [[STS-50]], [[STS-71]], [[STS-89]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|ESP}} [[Pedro Duque]] — [[STS-95]], [[Soyuz TMA-3]]/[[Soyuz TMA-2|2]]",,,,ESP}},,,,,,,,,,
"*{{Flagicon|USA}} [[Samuel T. Durrance]] — [[STS-35]], [[STS-67]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[James Dutton (astronaut)|James Dutton]] — [[STS-131]],,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Lev Dyomin]] (1926–1998) — [[Soyuz 15]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Tracy Caldwell Dyson]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-118]], [[Soyuz TMA-18]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Vladimir Dzhanibekov]] — [[Soyuz 27]]/[[Soyuz 26|26]], [[Soyuz 39]], [[Soyuz T-6]], [[Soyuz T-12]], [[Soyuz T-13]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Joe F. Edwards, Jr.|Joe Edwards]] — [[STS-89]]",,,,,,,,,,,,,,
*{{Flagicon|USA}} [[Donn F. Eisele]] (1930–1987) — [[Apollo 7]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Anthony W. England]] — [[STS-51-F]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Joe H. Engle]] — [[North American X-15|X-15]] flights 138, 143, and 153, [[STS-2]], [[STS-51-I]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Jeanette J. Epps]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — No flights,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Ronald Evans (astronaut)|Ronald Evans]] (1933–1990) △ — [[Apollo 17]],,,,USA}},,,,,,,,,,
*{{Flagicon|GER}} [[Reinhold Ewald]] — [[Soyuz TM-25]]/[[Soyuz TM-24|24]],,,,GER}},,,,,,,,,,
"*{{Flagicon|FRA}} [[Léopold Eyharts]], EAC — [[Soyuz TM-27]]/[[Soyuz TM-26|26]], [[STS-122]]/[[STS-123|123]]",,,,FRA}},,,,,,,,,,
"*{{Flagicon|USA}} [[John M. Fabian|John Fabian]] — [[STS-7]], [[STS-51-G]]",,,,,,,,,,,,,,
*{{Flagicon|SYR}} [[Muhammed Faris]] — [[Soyuz TM-3]]/[[Soyuz TM-2|2]],,,,SYR}},,,,,,,,,,
*{{Flagicon|HUN}} [[Bertalan Farkas]] — [[Soyuz 36]]/[[Soyuz 35|35]],,,,HUN}},,,,,,,,,,
*{{Flagicon|FRA}} [[Jean-Jacques Favier]] — [[STS-78]],,,,FRA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Konstantin Feoktistov]] (1926–2009) — [[Voskhod 1]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Christopher Ferguson]] — [[STS-115]], [[STS-126]], [[STS-135]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Martin J. Fettman]] — [[STS-58]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Andrew J. Feustel]] — [[STS-125]], [[STS-134]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Anatoly Filipchenko]] — [[Soyuz 7]], [[Soyuz 16]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael Fincke]] — [[Soyuz TMA-4]], [[Soyuz TMA-13]], [[STS-134]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[John L. Finley]] (1935–2006) — No flights. Trained for the [[Manned Orbiting Laboratory|MOL]] program.,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Jack D. Fischer]] — [[Soyuz MS-04]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Anna Lee Fisher]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-51-A]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[William Frederick Fisher]], M.D. — [[STS-51-I]]",,,,USA}},,,,,,,,,,
*{{Flagicon|GER}} [[Klaus-Dietrich Flade]] — [[Soyuz TM-14]]/[[Soyuz TM-13|13]],,,,GER}},,,,,,,,,,
"*{{Flagicon|GBR}} {{Flagicon|USA}} [[Michael Foale]] — [[STS-45]], [[STS-56]], [[STS-63]], [[STS-84]]/[[STS-86|86]], [[STS-103]], [[Soyuz TMA-3]]",,,,GBR}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kevin A. Ford]] — [[STS-128]], [[Soyuz TMA-06M]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael Foreman (astronaut)|Michael Foreman]] — [[STS-123]], [[STS-129]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Patrick G. Forrester|Patrick Forrester]] — [[STS-105]], [[STS-117]], [[STS-128]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael E. Fossum|Michael Fossum]] — [[STS-121]], [[STS-124]], [[Soyuz TMA-02M]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Ted Freeman]] (1930–1964) — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Stephen Frick]] — [[STS-110]], [[STS-122]]",,,,USA}},,,,,,,,,,
*{{Flagicon|BEL}} [[Dirk Frimout]] — [[STS-45]],,,,BEL}},,,,,,,,,,
"*{{Flagicon|SWE}} [[Christer Fuglesang]] — [[STS-116]], [[STS-128]]",,,,SWE}},,,,,,,,,,
"*{{Flagicon|USA}} [[C. Gordon Fullerton|Gordon Fullerton]] (1936–2013) — [[STS-3]], [[STS-51-F]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Wally Funk]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Blue Origin NS-16]],,,,USA}},,,,,,,,,,
*{{Flagicon|GER}} [[Reinhard Furrer]] (1940–1995) — [[STS-61-A]],,,,GER}},,,,,,,,,,
*{{Flagicon|JPN}} [[Satoshi Furukawa]] — [[Soyuz TMA-02M]] franklin Chang,,,,JPN}},,,,,,,,,,
"*{{Flagicon|USA}} [[F. Drew Gaffney]], M.D. — [[STS-40]]",,,,,,,,,,,,,,
*{{Flagicon|USSR}} [[Yuri Gagarin]] (1934–1968)† — [[Vostok 1]]. First person in space.Died in a training flight.,,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Ronald J. Garan, Jr.|Ronald Garan]] — [[STS-124]], [[Soyuz TMA-21]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Dale Gardner]] (1948–2014) — [[STS-8]], [[STS-51-A]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Guy Gardner (astronaut)|Guy Gardner]] — [[STS-27]], [[STS-35]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|CAN}} [[Marc Garneau]] — [[STS-41-G]], [[STS-77]], [[STS-97]]",,,,CAN}},,,,,,,,,,
"*{{Flagicon|USA}} [[Owen K. Garriott|Owen Garriott]] (1930–2019) — [[Skylab 3]], [[STS-9]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Charles D. Gemar|Charles Gemar]] — [[STS-38]], [[STS-48]], [[STS-62]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael L. Gernhardt|Michael Gernhardt]] — [[STS-69]], [[STS-83]], [[STS-94]], [[STS-104]]",,,,USA}},,,,,,,,,,
*{{Flagicon|DEU}} [[Alexander Gerst]] — [[Soyuz TMA-13M]],,,,DEU}},,,,,,,,,,
*{{Flagicon|USA}} [[Edward Gibson]] — [[Skylab 4]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert L. Gibson]] — [[STS-41-B]], [[STS-61-C]], [[STS-27]], [[STS-47]], [[STS-71]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Yuri Gidzenko]] — [[Soyuz TM-22]], [[Soyuz TM-31]]/[[STS-102]], [[Soyuz TM-34]]/[[Soyuz TM-33]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Edward Givens|Ed Givens]] (1930–1967) — No flights. NASA group 5.,,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Yuri Glazkov]] (1939–2008) — [[Soyuz 24]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[John Glenn]] (1921–2016) — [[Mercury-Atlas 6|Mercury 6]], [[STS-95]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Victor J. Glover|Victor Glover]] — [[SpaceX Crew-1]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Linda M. Godwin|Linda Godwin]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-37]], [[STS-59]], [[STS-76]], [[STS-108]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael T. Good]] — [[STS-125]], [[STS-132]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Viktor Gorbatko]] — [[Soyuz 7]], [[Soyuz 24]], [[Soyuz 37]]/[[Soyuz 36|36]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard F. Gordon, Jr.|Richard Gordon]] (1929–2017) △ — [[Gemini 11]], [[Apollo 12]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Dominic L. Pudwill Gorie|Dominic Gorie]] — [[STS-91]], [[STS-99]], [[STS-108]], [[STS-123]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Ronald J. Grabe|Ronald Grabe]] — [[STS-51-J]], [[STS-30]], [[STS-42]], [[STS-57]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Duane Graveline]], M.D. (1931–2016) — No flights",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Georgi Grechko]] (1931–2017) — [[Soyuz 17]], [[Soyuz 26]]/[[Soyuz 27|27]], [[Soyuz T-14]]/[[Soyuz T-13|13]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Frederick D. Gregory|Frederick Gregory]] — [[STS-51-B]], [[STS-33]], [[STS-44]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[William G. Gregory|William Gregory]] — [[STS-67]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[S. David Griggs|David Griggs]] (1939–1989) — [[STS-51-D]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Gus Grissom|Virgil I. ""Gus"" Grissom]] (1926–1967) † — [[Mercury-Redstone 4]], [[Gemini 3]]. Died in the [[Apollo 1]] fire accident.",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[John M. Grunsfeld|John Grunsfeld]] — [[STS-67]], [[STS-81]], [[STS-103]], [[STS-109]], [[STS-125]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Aleksei Gubarev]] — [[Soyuz 17]], [[Soyuz 28]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|ITA}} [[Umberto Guidoni]] — [[STS-75]], [[STS-100]]",,,,ITA}},,,,,,,,,,
*{{Flagicon|MNG}} [[Jügderdemidiin Gürragchaa]] — [[Soyuz 39]],,,,MNG}},,,,,,,,,,
"*{{Flagicon|USA}} [[Sidney M. Gutierrez|Sidney Gutierrez]] — [[STS-40]], [[STS-59]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|CAN}} [[Chris Hadfield]] — [[STS-74]], [[STS-100]], [[Expedition 34]], [[Expedition 35]], [[Soyuz TMA-07M]]",,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[Nick Hague]] — [[Soyuz MS-10]], [[Soyuz MS-12]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|FRA}} [[Claudie Haigneré]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup>, EAC — [[Soyuz TM-24]]/[[Soyuz TM-23|23]], [[Soyuz TM-33]]/[[Soyuz TM-32|32]]",,,,FRA}},,,,,,,,,,
"*{{Flagicon|FRA}} [[Jean-Pierre Haigneré]], EAC — [[Soyuz TM-17]]/[[Soyuz TM-16|16]], [[Soyuz TM-29]]",,,,FRA}},,,,,,,,,,
*{{Flagicon|USA}} [[Fred Haise]] △ — [[Apollo 13]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[James Halsell]] — [[STS-65]], [[STS-74]], [[STS-83]], [[STS-94]], [[STS-101]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kenneth Ham]] — [[STS-124]], [[STS-132]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Christina Hammock Koch]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz MS-12]]/[[Soyuz MS-13]] ([[Expedition 59]]/[[Expedition 60|60]]/[[Expedition 61|61]]). A member of the first all-female EVA team.,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Lloyd Hammond]] — [[STS-39]], [[STS-64]]",,,,USA}},,,,,,,,,,
*{{Flagicon|CAN}} [[Jeremy Hansen]] — No flights,,,,CAN}},,,,,,,,,,
"*{{Flagicon|USA}} [[Gregory Harbaugh]] — [[STS-39]], [[STS-54]], [[STS-71]], [[STS-82]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Bernard A. Harris, Jr.]] — [[STS-55]], [[STS-63]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Terry Hart]] — [[STS-41-C]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Henry Hartsfield]] (1933–2014) — [[STS-4]], [[STS-41-D]], [[STS-61-A]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Frederick Hauck]] — [[STS-7]], [[STS-51-A]], [[STS-26]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Steven Hawley]] — [[STS-41-D]], [[STS-61-C]], [[STS-31]], [[STS-82]], [[STS-93]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Susan Helms]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-54]], [[STS-64]], [[STS-78]], [[STS-101]], [[STS-102]]/[[STS-105|105]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Karl Henize]] (1926–1993) — [[STS-51-F]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Thomas Hennen]] — [[STS-44]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Terence Henricks]] — [[STS-44]], [[STS-55]], [[STS-70]], [[STS-78]]",,,,USA}},,,,,,,,,,
*{{Flagicon|POL}} [[Mirosław Hermaszewski]] — [[Soyuz 30]],,,,POL}},,,,,,,,,,
*{{Flagicon|USA}} [[José M. Hernández]] — [[STS-128]],,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[John Herrington]] — [[STS-113]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard Hieb]] — [[STS-39]], [[STS-49]], [[STS-65]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Joan Higginbotham]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-116]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[David Hilmers]] — [[STS-51-J]], [[STS-26]], [[STS-36]], [[STS-42]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Robert Hines (astronaut)|Robert Hines]] — [[SpaceX Crew-4]] (2022),,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kathryn Hire]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-90]], [[STS-130]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Charles Hobaugh]] — [[STS-104]], [[STS-118]], [[STS-129]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Warren Hoburg]] — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jeffrey Hoffman]] — [[STS-51-D]], [[STS-35]], [[STS-46]], [[STS-61]], [[STS-75]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Donald Holmquest]], M.D. — No flights",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Michael S. Hopkins]] — [[Soyuz TMA-10M]], [[SpaceX Crew-1]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Scott Horowitz]] — [[STS-75]], [[STS-82]], [[STS-101]], [[STS-105]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|Japan}} [[Akihiko Hoshide]] — [[STS-124]], [[Soyuz TMA-05M]], [[SpaceX Crew-2]]",,,,Japan,,,,,,,,,,
*{{Flagicon|USA}} [[Millie Hughes-Fulford]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-40]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Douglas G. Hurley]] — [[STS-127]], [[STS-135]], [[Crew Dragon Demo-2]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Rick Husband]] (1957–2003) † — [[STS-96]]. Died in the [[Space Shuttle Columbia disaster|''Columbia'' reentry disintegration]] ([[STS-107]]).,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[James Irwin]] (1930-1991) △▲ — [[Apollo 15]],,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Aleksandr Ivanchenkov]] — [[Soyuz 29]]/[[Soyuz 31|31]],,,,USSR},,,,,,,,,,
*{{Flagicon|RUS}} [[Anatoli Ivanishin]] — [[Soyuz TMA-22]] [[Soyuz MS-16]],,,,RUS}},,,,,,,,,,
*{{Flagicon|BUL}} [[Georgi Ivanov (cosmonaut)|Georgi Ivanov]] — [[Soyuz 33]],,,,BUL}},,,,,,,,,,
"*{{Flagicon|USA}} [[Marsha Ivins]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-32]], [[STS-46]], [[STS-62]], [[STS-81]], [[STS-98]]",,,,USA}},,,,,,,,,,
*{{Flagicon|GDR}} <!--Citizen of East Germany at the time of flight--> [[Sigmund Jähn]] — [[Soyuz 31]]/[[Soyuz 29|29]],,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[Mae Jemison]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-47]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Tamara E. Jernigan]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-40]], [[STS-52]], [[STS-67]], [[STS-80]], [[STS-96]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Brent W. Jett, Jr.]] — [[STS-72]], [[STS-81]], [[STS-97]], [[STS-115]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|CHN}} [[Jing Haipeng]] — [[Shenzhou 7]], [[Shenzhou 9]], [[Shenzhou 11]]",,,,CHN}},,,,,,,,,,
*{{Flagicon|USA}} [[Gregory C. Johnson]] — [[STS-125]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Gregory H. Johnson]] — [[STS-123]], [[STS-134]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Thomas D. Jones]] — [[STS-59]], [[STS-68]], [[STS-80]], [[STS-98]]",,,,USA}},,,,,,,,,,
*{{Flagicon|Poland}} [[Zenon Jankowski]] — [[Soyuz 30]] Backup,,,,Polan,,,,,,,,,,
*{{Flagicon|UKR}} [[Leonid Kadeniuk]] — [[STS-87]],,,,,,,,,,,,,,
"*{{Flagicon|RUS}} [[Alexander Kaleri]] — [[Soyuz TM-14]], [[Soyuz TM-24]], [[Soyuz TM-30]], [[Soyuz TMA-3]], [[Soyuz TMA-01M]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Janet L. Kavandi]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-91]], [[STS-99]], [[STS-104]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[James M. Kelly (astronaut)|James M. Kelly]] — [[STS-102]], [[STS-114]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Mark Kelly (astronaut)|Mark Kelly]] — [[STS-108]], [[STS-121]], [[STS-124]], [[STS-134]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Scott Kelly (astronaut)|Scott Kelly]] — [[STS-103]], [[STS-118]], [[Soyuz TMA-01M]], [[Soyuz TMA-16M]]/[[Soyuz TMA-18M|18M]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Joseph P. Kerwin|Joseph Kerwin]], M.D. — [[Skylab 2]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Yevgeny Khrunov]] (1933–2000) — [[Soyuz 5]]/[[Soyuz 4|4]],,,,USSR},,,,,,,,,,
*{{Flagicon|RUS}} [[Anna Kikina]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[SpaceX Crew-5]],,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Jonny Kim]] — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert S. Kimbrough]] — [[STS-126]], [[Soyuz MS-02]], [[SpaceX Crew-2]].",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Leonid Kizim]] (1941–2010) — [[Soyuz T-3]], [[Soyuz T-10]]/[[Soyuz T-11|11]], [[Soyuz T-15]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} [[Petr Klimuk]] — [[Soyuz 13]], [[Soyuz 18]], [[Soyuz 30]]",,,,USSR},,,,,,,,,,
*{{Flagicon|USA}} [[William J. Knight|Pete Knight]] — [[North American X-15|X-15]] flight 190,,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Pyotr Kolodin]] — No flights, backup for several missions.",,,,USSR},,,,,,,,,,
*{{Flagicon|USSR}} [[Vladimir Mikhaylovich Komarov|Vladimir Komarov]] (1927–1967) † — [[Voskhod 1]]. Died during [[Soyuz 1]] reentry crash.,,,,USSR},,,,,,,,,,
*{{Flagicon|RUS}} [[Yelena Kondakova]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz TM-20]]/[[STS-84]],,,,RUS}},,,,,,,,,,
*{{Flagicon|RUS}} [[Dmitri Kondratyev]] — [[Soyuz TMA-20]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Oleg Kononenko]] — [[Soyuz TMA-12]], [[Soyuz TMA-03M]], [[Soyuz MS-11]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Timothy L. Kopra]] — [[STS-127]]/[[STS-128|128]],,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Mikhail Korniyenko]] — [[Soyuz TMA-18]], [[Soyuz TMA-16M]]/[[Soyuz TMA-18M|18M]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|RUS}} [[Sergey Korsakov (cosmonaut)|Sergey Korsakov]] — [[Soyuz MS-21]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Valery Korzun]] — [[Soyuz TM-24]], [[STS-111]]/[[STS-113|113]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Oleg Kotov]] — [[Soyuz TMA-10]], [[Soyuz TMA-17]], [[Soyuz TMA-10M]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Vladimir Kovalyonok]] — [[Soyuz 25]], [[Soyuz 29]]/[[Soyuz 31|31]], [[Soyuz T-4]]",,,,USSR},,,,,,,,,,
*{{Flagicon|RUS}} [[Konstantin Kozeyev]] — [[Soyuz TM-33]]/[[Soyuz TM-32|32]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kevin Kregel]] — [[STS-70]], [[STS-78]], [[STS-87]], [[STS-99]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Sergei Krikalev]] —  [[Soyuz TM-7]], [[Soyuz TM-12]]/[[Soyuz TM-13]], [[STS-60]], [[STS-88]], [[Soyuz TM-31]]/[[STS-102]], [[Soyuz TMA-6]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} [[Valeri Kubasov]] — [[Soyuz 6]], [[Soyuz 19]], [[Soyuz 36]]/[[Soyuz 35|35]]",,,,USSR},,,,,,,,,,
*{{Flagicon|RUS}} [[Sergey Kud-Sverchkov]] — [[Soyuz MS-17]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|NLD}} [[André Kuipers]] — [[Soyuz TMA-4]]/[[Soyuz TMA-3|3]], [[Soyuz TMA-03M]]",,,,NLD}},,,,,,,,,,
*{{Flagicon|USA}} [[Robb Kulin]] — No flights,,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Aleksandr Laveykin]] — [[Soyuz TM-2]],,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[Robert Henry Lawrence, Jr.|Robert Lawrence]] (1935–1967) — No flights. Trained for [[Manned Orbiting Laboratory|MOL]] program.",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Wendy Lawrence]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-67]], [[STS-86]], [[STS-91]], [[STS-114]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Vasili Lazarev]] (1928–1990) — [[Soyuz 12]], [[Soyuz 18a]]",,,,USSR},,,,,,,,,,
*{{Flagicon|RUS}} [[Aleksandr Lazutkin]] — [[Soyuz TM-25]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Valentin Lebedev]] — [[Soyuz 13]], [[Soyuz T-5]]/[[Soyuz T-7|7]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Mark C. Lee]] — [[STS-30]], [[STS-47]], [[STS-64]], [[STS-82]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[David Leestma]] — [[STS-41-G]], [[STS-28]], [[STS-45]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[William B. Lenoir]] (1939–2010) — [[STS-5]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Alexei Leonov]] (1934–2019) — [[Voskhod 2]], [[Soyuz 19]]. First space walk.",,,,USSR},,,,,,,,,,
*{{Flagicon|USA}} [[Frederick W. Leslie]] — [[STS-73]],,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Anatoli Levchenko]] (1941–1988) — [[Soyuz TM-4]]/[[Soyuz TM-3|3]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Byron Lichtenberg]] — [[STS-9]], [[STS-45]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Don Lind]] — [[STS-51-B]],,,,USA}},,,,,,,,,,
